,unixtimestamp,close_time,datetime,close_datetime,open,close,low,high,volume
282,1738311300000,1738312199999,2025-01-31 08:15:00,2025-01-31 08:29:59.999,104116.04,104083.56,104013.63,104318.76,143.00073
283,1738312200000,1738313099999,2025-01-31 08:30:00,2025-01-31 08:44:59.999,104083.55,104233.23,104036.9,104252.6,51.89005
284,1738313100000,1738313999999,2025-01-31 08:45:00,2025-01-31 08:59:59.999,104233.23,104028.78,104023.91,104233.23,109.35525
285,1738314000000,1738314899999,2025-01-31 09:00:00,2025-01-31 09:14:59.999,104028.79,103950.23,103950.01,104138.99,169.61095
286,1738314900000,1738315799999,2025-01-31 09:15:00,2025-01-31 09:29:59.999,103950.23,104193.63,103936.54,104230.52,187.49241
287,1738315800000,1738316699999,2025-01-31 09:30:00,2025-01-31 09:44:59.999,104193.64,104176.01,104142.58,104329.73,144.42698
288,1738316700000,1738317599999,2025-01-31 09:45:00,2025-01-31 09:59:59.999,104176.02,104256.56,104119.15,104262.27,176.40326
289,1738317600000,1738318499999,2025-01-31 10:00:00,2025-01-31 10:14:59.999,104256.57,104249.99,104208.0,104310.53,57.53121
290,1738318500000,1738319399999,2025-01-31 10:15:00,2025-01-31 10:29:59.999,104250.0,104153.96,104080.1,104310.52,83.14344
291,1738319400000,1738320299999,2025-01-31 10:30:00,2025-01-31 10:44:59.999,104153.96,104299.99,104100.64,104300.0,66.98814
292,1738320300000,1738321199999,2025-01-31 10:45:00,2025-01-31 10:59:59.999,104299.99,104284.1,104272.0,104431.49,90.91494
293,1738321200000,1738322099999,2025-01-31 11:00:00,2025-01-31 11:14:59.999,104284.1,104725.02,104284.1,104732.51,203.22098
294,1738322100000,1738322999999,2025-01-31 11:15:00,2025-01-31 11:29:59.999,104725.02,104823.5,104610.06,104848.65,165.81315
295,1738323000000,1738323899999,2025-01-31 11:30:00,2025-01-31 11:44:59.999,104823.5,104741.12,104627.92,104823.5,114.39309
296,1738323900000,1738324799999,2025-01-31 11:45:00,2025-01-31 11:59:59.999,104741.13,104736.0,104551.35,104817.57,90.87994
297,1738324800000,1738325699999,2025-01-31 12:00:00,2025-01-31 12:14:59.999,104736.01,104691.88,104612.07,104757.45,146.05817
298,1738325700000,1738326599999,2025-01-31 12:15:00,2025-01-31 12:29:59.999,104691.88,104705.89,104669.55,104918.3,147.89239
299,1738326600000,1738327499999,2025-01-31 12:30:00,2025-01-31 12:44:59.999,104705.89,104619.74,104553.71,104726.96,224.70768
300,1738327500000,1738328399999,2025-01-31 12:45:00,2025-01-31 12:59:59.999,104619.74,104704.68,104619.73,104773.04,94.83006
301,1738328400000,1738329299999,2025-01-31 13:00:00,2025-01-31 13:14:59.999,104704.69,104902.05,104704.68,105036.03,203.89483
302,1738329300000,1738330199999,2025-01-31 13:15:00,2025-01-31 13:29:59.999,104902.05,104862.74,104750.01,104951.43,131.56628
303,1738330200000,1738331099999,2025-01-31 13:30:00,2025-01-31 13:44:59.999,104862.74,104635.84,104551.09,104939.99,231.37644
304,1738331100000,1738331999999,2025-01-31 13:45:00,2025-01-31 13:59:59.999,104635.83,104664.02,104563.04,104732.0,93.23005
305,1738332000000,1738332899999,2025-01-31 14:00:00,2025-01-31 14:14:59.999,104664.01,104664.06,104549.01,104760.23,159.25864
306,1738332900000,1738333799999,2025-01-31 14:15:00,2025-01-31 14:29:59.999,104664.06,104721.31,104470.58,104768.71,150.28813
307,1738333800000,1738334699999,2025-01-31 14:30:00,2025-01-31 14:44:59.999,104721.31,104485.11,104169.0,104860.0,506.36785
308,1738334700000,1738335599999,2025-01-31 14:45:00,2025-01-31 14:59:59.999,104485.12,104442.79,104106.0,104523.92,248.7013
309,1738335600000,1738336499999,2025-01-31 15:00:00,2025-01-31 15:14:59.999,104443.99,104869.49,104443.99,104981.52,345.15842
310,1738336500000,1738337399999,2025-01-31 15:15:00,2025-01-31 15:29:59.999,104869.49,105166.25,104565.21,105200.0,624.76527
311,1738337400000,1738338299999,2025-01-31 15:30:00,2025-01-31 15:44:59.999,105166.24,105641.98,105104.53,105848.92,851.26054
312,1738338300000,1738339199999,2025-01-31 15:45:00,2025-01-31 15:59:59.999,105641.99,105464.01,105381.53,106012.0,670.29617
313,1738339200000,1738340099999,2025-01-31 16:00:00,2025-01-31 16:14:59.999,105464.0,105240.0,105120.01,105574.4,377.52157
314,1738340100000,1738340999999,2025-01-31 16:15:00,2025-01-31 16:29:59.999,105240.0,104804.01,104696.23,105312.0,385.44757
315,1738341000000,1738341899999,2025-01-31 16:30:00,2025-01-31 16:44:59.999,104804.01,104988.04,104795.26,105098.76,266.84718
316,1738341900000,1738342799999,2025-01-31 16:45:00,2025-01-31 16:59:59.999,104988.04,105081.87,104975.0,105101.06,221.35048
317,1738342800000,1738343699999,2025-01-31 17:00:00,2025-01-31 17:14:59.999,105081.86,104835.36,104542.0,105081.87,237.53647
